id,QID,tagSlug
0,1,array
1,1,hash-table
2,2,linked-list
3,2,math
4,2,recursion
5,3,hash-table
6,3,string
7,3,sliding-window
8,4,array
9,4,binary-search
10,4,divide-and-conquer
11,5,two-pointers
12,5,string
13,5,dynamic-programming
14,6,string
15,7,math
16,8,string
17,9,math
18,10,string
19,10,dynamic-programming
20,10,recursion
21,11,array
22,11,two-pointers
23,11,greedy
24,12,hash-table
25,12,math
26,12,string
27,13,hash-table
28,13,math
29,13,string
30,14,string
31,14,trie
32,15,array
33,15,two-pointers
34,15,sorting
35,16,array
36,16,two-pointers
37,16,sorting
38,17,hash-table
39,17,string
40,17,backtracking
41,18,array
42,18,two-pointers
43,18,sorting
44,19,linked-list
45,19,two-pointers
46,20,string
47,20,stack
48,21,linked-list
49,21,recursion
50,22,string
51,22,dynamic-programming
52,22,backtracking
53,23,linked-list
54,23,divide-and-conquer
55,23,heap-priority-queue
56,23,merge-sort
57,24,linked-list
58,24,recursion
59,25,linked-list
60,25,recursion
61,26,array
62,26,two-pointers
63,27,array
64,27,two-pointers
65,28,two-pointers
66,28,string
67,28,string-matching
68,29,math
69,29,bit-manipulation
70,30,hash-table
71,30,string
72,30,sliding-window
73,31,array
74,31,two-pointers
75,32,string
76,32,dynamic-programming
77,32,stack
78,33,array
79,33,binary-search
80,34,array
81,34,binary-search
82,35,array
83,35,binary-search
84,36,array
85,36,hash-table
86,36,matrix
87,37,array
88,37,hash-table
89,37,backtracking
90,37,matrix
91,38,string
92,39,array
93,39,backtracking
94,40,array
95,40,backtracking
96,41,array
97,41,hash-table
98,42,array
99,42,two-pointers
100,42,dynamic-programming
101,42,stack
102,42,monotonic-stack
103,43,math
104,43,string
105,43,simulation
106,44,string
107,44,dynamic-programming
108,44,greedy
109,44,recursion
110,45,array
111,45,dynamic-programming
112,45,greedy
113,46,array
114,46,backtracking
115,47,array
116,47,backtracking
117,48,array
118,48,math
119,48,matrix
120,49,array
121,49,hash-table
122,49,string
123,49,sorting
124,50,math
125,50,recursion
126,51,array
127,51,backtracking
128,52,backtracking
129,53,array
130,53,divide-and-conquer
131,53,dynamic-programming
132,54,array
133,54,matrix
134,54,simulation
135,55,array
136,55,dynamic-programming
137,55,greedy
138,56,array
139,56,sorting
140,57,array
141,58,string
142,59,array
143,59,matrix
144,59,simulation
145,60,math
146,60,recursion
147,61,linked-list
148,61,two-pointers
149,62,math
150,62,dynamic-programming
151,62,combinatorics
152,63,array
153,63,dynamic-programming
154,63,matrix
155,64,array
156,64,dynamic-programming
157,64,matrix
158,65,string
159,66,array
160,66,math
161,67,math
162,67,string
163,67,bit-manipulation
164,67,simulation
165,68,array
166,68,string
167,68,simulation
168,69,math
169,69,binary-search
170,70,math
171,70,dynamic-programming
172,70,memoization
173,71,string
174,71,stack
175,72,string
176,72,dynamic-programming
177,73,array
178,73,hash-table
179,73,matrix
180,74,array
181,74,binary-search
182,74,matrix
183,75,array
184,75,two-pointers
185,75,sorting
186,76,hash-table
187,76,string
188,76,sliding-window
189,77,backtracking
190,78,array
191,78,backtracking
192,78,bit-manipulation
193,79,array
194,79,string
195,79,backtracking
196,79,matrix
197,80,array
198,80,two-pointers
199,81,array
200,81,binary-search
201,82,linked-list
202,82,two-pointers
203,83,linked-list
204,84,array
205,84,stack
206,84,monotonic-stack
207,85,array
208,85,dynamic-programming
209,85,stack
210,85,matrix
211,85,monotonic-stack
212,86,linked-list
213,86,two-pointers
214,87,string
215,87,dynamic-programming
216,88,array
217,88,two-pointers
218,88,sorting
219,89,math
220,89,backtracking
221,89,bit-manipulation
222,90,array
223,90,backtracking
